hidden_size,lookback,lr,val_qlike,val_mse,val_mae,epochs
128,10,0.001,0.23432939821415905,2.9882122755215244e-09,2.452199511262556e-05,32
128,40,0.0001,0.2408000816821715,3.0039530824871876e-09,2.4740478016958136e-05,102
128,10,0.0001,0.24213636741543312,3.097896568772706e-09,2.5435051038283405e-05,83
128,20,0.0001,0.2426454447163814,3.0026519626061614e-09,2.4985601823922707e-05,132
64,40,0.001,0.2429210132350962,3.0207463938095917e-09,2.4345564810773626e-05,50
64,10,0.0001,0.2478566691474597,3.1375879594192478e-09,2.5681314007588933e-05,83
64,40,0.0001,0.24855151313916155,3.032151240823991e-09,2.5220645053189204e-05,102
128,40,0.001,0.24884190685241933,2.9422024367335446e-09,2.4745382267232924e-05,38
64,20,0.0001,0.24972517986428042,3.021702435516275e-09,2.5305407271041245e-05,132
64,10,0.001,0.24983966675275754,2.9852412674916306e-09,2.5033775437594838e-05,32
128,20,0.001,0.25061202794292686,3.134585391632978e-09,2.539872862446777e-05,48
64,20,0.001,0.2561179092208768,3.173318274202742e-09,2.603454401450155e-05,48
32,20,0.001,0.2605663785491193,3.0681853514926976e-09,2.5646822333356084e-05,55
32,40,0.001,0.26283203858429977,3.0967706558776237e-09,2.5792805609420214e-05,62
32,10,0.001,0.26284055529851186,3.0145183239054936e-09,2.558045038867549e-05,48
32,40,0.0001,0.26480033139834463,3.011162600743611e-09,2.5774395436329935e-05,136
32,10,0.0001,0.2669354963975586,3.072240422415239e-09,2.6443964725824797e-05,150
32,20,0.0001,0.2678819753720995,3.037080805462662e-09,2.60882688206018e-05,132
