jump_penalty,train_jumps,train_mean_duration_days,clears_persistence_floor,test_switches,agreement_with_headline_test,agreement_with_headline_train,is_headline
0.5,2252,1.7723035952063915,False,438,0.34183673469387754,0.3541197094916103,False
1.0,1196,3.335839598997494,False,205,0.3635204081632653,0.4022038567493113,False
1.5,204,19.478048780487804,True,77,0.9145408163265306,0.9033308289506636,False
2.0,109,36.3,True,60,0.9668367346938775,0.9737039819684448,False
2.5,89,44.36666666666667,True,50,0.9808673469387755,0.9847232657150012,False
3.0,76,51.857142857142854,True,51,1.0,1.0,True
5.0,24,159.72,True,36,0.8239795918367347,0.8014024542950163,False
10.0,10,363.0,True,22,0.8507653061224489,0.8359629351364889,False
30.0,6,570.4285714285714,True,22,0.826530612244898,0.8014024542950163,False
100.0,3,998.25,True,24,0.5701530612244898,0.5239168544953668,False
300.0,0,3993.0,True,0,0.48341836734693877,0.4152266466316053,False
