lag,acf,se_white,se_bartlett,significant_white,significant_bartlett,pair
1,0.09437566312662962,0.03571428571428571,0.03571428571428571,True,True,LSTM vs HAR-RV
2,0.016355469290477362,0.03571428571428571,0.03603098035557957,False,False,LSTM vs HAR-RV
3,-0.029435554000024726,0.03571428571428571,0.03604044876042491,False,False,LSTM vs HAR-RV
4,0.059723893660940906,0.03571428571428571,0.03607110038767224,False,False,LSTM vs HAR-RV
5,-0.019597240584769676,0.03571428571428571,0.03619701132378925,False,False,LSTM vs HAR-RV
6,-0.01931866313924664,0.03571428571428571,0.03621054201268504,False,False,LSTM vs HAR-RV
7,-0.017694048971970362,0.03571428571428571,0.036223685912406996,False,False,LSTM vs HAR-RV
8,0.035994782822908744,0.03571428571428571,0.03623470840148247,False,False,LSTM vs HAR-RV
9,-0.02034868981836952,0.03571428571428571,0.03628028744651651,False,False,LSTM vs HAR-RV
10,-0.004768248543645991,0.03571428571428571,0.03629484200438967,False,False,LSTM vs HAR-RV
11,-0.030614301473145367,0.03571428571428571,0.03629564101402468,False,False,LSTM vs HAR-RV
12,-0.0037747067219718955,0.03571428571428571,0.036328562638660994,False,False,LSTM vs HAR-RV
13,0.03996958898976949,0.03571428571428571,0.03632906290255702,False,False,LSTM vs HAR-RV
14,-0.02037027612231845,0.03571428571428571,0.036385110142222274,False,False,LSTM vs HAR-RV
15,0.04930715912304496,0.03571428571428571,0.03639965358707194,False,False,LSTM vs HAR-RV
16,0.012879737458043114,0.03571428571428571,0.03648474765871385,False,False,LSTM vs HAR-RV
17,0.027073874104798546,0.03571428571428571,0.036490546645226406,False,False,LSTM vs HAR-RV
18,-0.0042224015314725905,0.03571428571428571,0.03651615914635241,False,False,LSTM vs HAR-RV
19,-0.020354992463431636,0.03571428571428571,0.03651678189702275,False,False,LSTM vs HAR-RV
20,-0.014046349907994572,0.03571428571428571,0.03653125118959723,False,False,LSTM vs HAR-RV
1,0.19625385758902866,0.03571428571428571,0.03571428571428571,True,True,LSTM-RVonly vs HAR-RV
2,0.05207641401977382,0.03571428571428571,0.037064325517507976,False,False,LSTM-RVonly vs HAR-RV
3,0.04206156644454476,0.03571428571428571,0.03715753588781719,False,False,LSTM-RVonly vs HAR-RV
4,9.998885981218933e-05,0.03571428571428571,0.03721821698756437,False,False,LSTM-RVonly vs HAR-RV
5,-0.023067721305899697,0.03571428571428571,0.03721821733019927,False,False,LSTM-RVonly vs HAR-RV
6,-0.00847127373317686,0.03571428571428571,0.03723644920801697,False,False,LSTM-RVonly vs HAR-RV
7,0.0012925626016481828,0.03571428571428571,0.037238907303636555,False,False,LSTM-RVonly vs HAR-RV
8,0.007972546618049229,0.03571428571428571,0.0372389645291696,False,False,LSTM-RVonly vs HAR-RV
9,-0.056921728870884036,0.03571428571428571,0.03724114157604928,False,False,LSTM-RVonly vs HAR-RV
10,-0.03194232419031157,0.03571428571428571,0.037351949672001325,False,False,LSTM-RVonly vs HAR-RV
11,-0.01858191978147384,0.03571428571428571,0.03738677548579071,False,False,LSTM-RVonly vs HAR-RV
12,-0.06451666804119535,0.03571428571428571,0.03739855367929894,False,False,LSTM-RVonly vs HAR-RV
13,0.04847597686059588,0.03571428571428571,0.037540247545952705,False,False,LSTM-RVonly vs HAR-RV
