hac_lag,dm_stat,p_value,lrv_over_gamma0,is_default,n,pair
0,-0.6491839085448645,0.5164098821645207,1.0,False,784,LSTM vs HAR-RV
1,-0.6205269078272282,0.5350915101821716,1.094496193986306,False,784,LSTM vs HAR-RV
2,-0.608837732276083,0.5428085916577208,1.1369264580718814,False,784,LSTM vs HAR-RV
5,-0.5967999517609053,0.5508134646346595,1.183253871079158,False,784,LSTM vs HAR-RV
9,-0.5947518944590755,0.5521811503695154,1.191417087549316,True,784,LSTM vs HAR-RV
10,-0.5947712561508877,0.5521682128799372,1.191339519997877,False,784,LSTM vs HAR-RV
15,-0.5960799751779627,0.5512940721697355,1.186113989211468,False,784,LSTM vs HAR-RV
20,-0.5891455898556857,0.5559335447085644,1.2142000057277045,False,784,LSTM vs HAR-RV
30,-0.5822437566210774,0.5605701132418103,1.2431565200104797,False,784,LSTM vs HAR-RV
0,-2.1077528364149147,0.03536967026704894,1.0,False,784,LSTM-RVonly vs HAR-RV
1,-1.9269148072420967,0.05435181048608671,1.1965045010853106,False,784,LSTM-RVonly vs HAR-RV
2,-1.8508921124715465,0.06456150463943808,1.2968124026333574,False,784,LSTM-RVonly vs HAR-RV
5,-1.7615620278405986,0.07853355294768041,1.431671846113502,False,784,LSTM-RVonly vs HAR-RV
9,-1.7450346455952945,0.08137114000260355,1.4589192585195594,True,784,LSTM-RVonly vs HAR-RV
10,-1.7505797397429814,0.08040995126833926,1.4496914217513843,False,784,LSTM-RVonly vs HAR-RV
15,-1.7910609455893862,0.07366966066326859,1.3849007057162488,False,784,LSTM-RVonly vs HAR-RV
20,-1.7858125211283589,0.0745165257165346,1.3930529922787573,False,784,LSTM-RVonly vs HAR-RV
30,-1.8163644760786577,0.06969674455940357,1.3465837391899955,False,784,LSTM-RVonly vs HAR-RV
0,-0.6790299574722333,0.49731953848876825,1.0,False,784,Regime-LSTM-A vs LSTM
1,-0.6288305146669864,0.5296434188861981,1.1660324951422147,False,784,Regime-LSTM-A vs LSTM
2,-0.5830185477184342,0.5600486841384353,1.3564791640563714,False,784,Regime-LSTM-A vs LSTM
5,-0.49545251834373627,0.6204197468555295,1.8783381934442764,False,784,Regime-LSTM-A vs LSTM
9,-0.4432425642824145,0.6577127326253616,2.3469019855743376,True,784,Regime-LSTM-A vs LSTM
10,-0.43224689114760173,0.665680993690444,2.4678235999345755,False,784,Regime-LSTM-A vs LSTM
15,-0.39785081107931886,0.6908486039681238,2.9129791377968144,False,784,Regime-LSTM-A vs LSTM
20,-0.3836158139450542,0.7013673544298888,3.1331765391097925,False,784,Regime-LSTM-A vs LSTM
30,-0.3820078255491754,0.702559213182843,3.1596090604337035,False,784,Regime-LSTM-A vs LSTM
0,-0.5633704071892237,0.5733439765355811,1.0,False,784,Regime-LSTM-B vs LSTM
1,-0.5560585767535309,0.5783296706689801,1.0264716840782369,False,784,Regime-LSTM-B vs LSTM
2,-0.5680032106725637,0.5701956264113226,0.9837539290848273,False,784,Regime-LSTM-B vs LSTM
5,-0.5765438115547086,0.564413362130393,0.9548242299630103,False,784,Regime-LSTM-B vs LSTM
9,-0.6074530432891847,0.5437264171588343,0.8601271110275194,True,784,Regime-LSTM-B vs LSTM
10,-0.6192554417330414,0.5359282260230629,0.8276531986254482,False,784,Regime-LSTM-B vs LSTM
15,-0.6606985867719404,0.5089999619563526,0.7270785047369531,False,784,Regime-LSTM-B vs LSTM
20,-0.6754650390806904,0.49957978185356694,0.6956364176572059,False,784,Regime-LSTM-B vs LSTM
30,-0.6915421971002037,0.48942986038719494,0.6636677134717018,False,784,Regime-LSTM-B vs LSTM
0,-0.7671258840985287,0.4432379158609065,1.0,False,784,Regime-LSTM-B vs HAR-RV
1,-0.7451758588028129,0.4563890285256052,1.059780001858873,False,784,Regime-LSTM-B vs HAR-RV
2,-0.7401590396956831,0.4594253675317553,1.07419512815478,False,784,Regime-LSTM-B vs HAR-RV
5,-0.735206060586543,0.4624341559936464,1.0887172816792043,False,784,Regime-LSTM-B vs HAR-RV
9,-0.7410547587878522,0.45888241994556267,1.0715999202356608,True,784,Regime-LSTM-B vs HAR-RV
10,-0.7411961165545757,0.45879676768704203,1.071191217266364,False,784,Regime-LSTM-B vs HAR-RV
15,-0.7392366358683429,0.4599848668380637,1.0768775165134263,False,784,Regime-LSTM-B vs HAR-RV
20,-0.7310167231896605,0.46498762940156557,1.1012315595666375,False,784,Regime-LSTM-B vs HAR-RV
30,-0.7170521776296779,0.47355574036896425,1.144542056311307,False,784,Regime-LSTM-B vs HAR-RV
