lag,lb_stat,df,p_value,n,pair
5,11.025897121867223,5,0.05086893066311117,784,LSTM vs HAR-RV
10,12.945999143679181,10,0.2267067606728936,784,LSTM vs HAR-RV
20,18.490892604921715,20,0.5551048686901023,784,LSTM vs HAR-RV
5,34.265804883636925,5,2.107785854378086e-06,784,LSTM-RVonly vs HAR-RV
10,37.76305124443559,10,4.1729948407608015e-05,784,LSTM-RVonly vs HAR-RV
20,49.900551101804275,20,0.00022885281170443398,784,LSTM-RVonly vs HAR-RV
5,114.47595162497463,5,4.635364658415214e-23,784,Regime-LSTM-A vs LSTM
10,187.0890894220303,10,7.884073292607078e-35,784,Regime-LSTM-A vs LSTM
20,202.98407529707475,20,2.8878472353919864e-32,784,Regime-LSTM-A vs LSTM
5,27.963195159244155,5,3.7006734791550445e-05,784,Regime-LSTM-B vs LSTM
10,36.23905678009794,10,7.657273540509877e-05,784,Regime-LSTM-B vs LSTM
20,38.00126426840517,20,0.008852434938755042,784,Regime-LSTM-B vs LSTM
5,11.542488635557257,5,0.041623993720029805,784,Regime-LSTM-B vs HAR-RV
10,16.243369464282697,10,0.09287439244957081,784,Regime-LSTM-B vs HAR-RV
20,19.651076766879445,20,0.4799379421549539,784,Regime-LSTM-B vs HAR-RV
