regime_shift,timing,model_a,model_b,regime,n,qlike_a,qlike_b,mean_loss_diff,dm_stat,p_value,better
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,LSTM,calm,381,0.3121954313666968,0.31528425177498715,-0.003088820408290338,-1.1658214625737717,0.24441784729500304,Regime-LSTM-A
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,LSTM,transitional,332,0.20493791146540127,0.2043275392255264,0.0006103722398748679,0.16904364512928227,0.8658655672280734,LSTM
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,LSTM,crisis,71,0.2667049322539286,0.2790784188257495,-0.012373486571820913,-0.39605237214076744,0.693271037065604,Regime-LSTM-A
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,LSTM,calm,381,0.3115528184947781,0.31528425177498715,-0.003731433280209029,-1.475701620562119,0.140852114797418,Regime-LSTM-B
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,LSTM,transitional,332,0.1950896055997912,0.2043275392255264,-0.009237933625735217,-2.3745910320352293,0.018138062127232804,Regime-LSTM-B
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,LSTM,crisis,71,0.26825627345499303,0.2790784188257495,-0.010822145370756486,-0.3589652191122471,0.7207015949022589,Regime-LSTM-B
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,HAR-RV,calm,381,0.3121954313666968,0.3034801663289879,0.00871526503770892,0.3147251758520432,0.7531430632529464,HAR-RV
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,HAR-RV,transitional,332,0.20493791146540127,0.24090625673369034,-0.03596834526828907,-3.1879389085249286,0.0015696716526941064,Regime-LSTM-A
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,HAR-RV,crisis,71,0.2667049322539286,0.27595780284511773,-0.009252870591189122,-0.2421680765894728,0.809358024099536,Regime-LSTM-A
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,HAR-RV,calm,381,0.3115528184947781,0.3034801663289879,0.008072652165790228,0.2778748623416737,0.7812595436722746,HAR-RV
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,HAR-RV,transitional,332,0.1950896055997912,0.24090625673369034,-0.045816651133899156,-4.811343611855579,2.2818200315522797e-06,Regime-LSTM-B
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,HAR-RV,crisis,71,0.26825627345499303,0.27595780284511773,-0.007701529390124695,-0.1626701595735267,0.8712468294876741,Regime-LSTM-B
1,lagged t-1 (conditional / implementable),Regime-LSTM-A-RVonly,LSTM-RVonly,calm,381,0.28878947873710087,0.28143165456909597,0.007357824168004901,2.145334367811741,0.03255934218899601,LSTM-RVonly
1,lagged t-1 (conditional / implementable),Regime-LSTM-A-RVonly,LSTM-RVonly,transitional,332,0.22707698024676323,0.23307917299392644,-0.00600219274716321,-1.0709989394724793,0.2849502086281669,Regime-LSTM-A-RVonly
1,lagged t-1 (conditional / implementable),Regime-LSTM-A-RVonly,LSTM-RVonly,crisis,71,0.27773308911830963,0.26690653642490986,0.010826552693399771,0.4415059650313644,0.6602075834595722,LSTM-RVonly
