method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
LSTM-Gaussian,0.9,both,DQ incremental,regime,t-1 (implementable),2.905800805997142,2.0,0.23389092541586112,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=18.549 (df 7, p=0.009724) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,DQ incremental,transition,t-1 (implementable),0.18108240661408637,1.0,0.6704446829075847,780,transition_exante(t-1),0.09999999999999998,"DQ_full=15.824 (df 6, p=0.01473) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,DQ incremental,width,t-1 (implementable),0.40189589195775355,1.0,0.5261117601332458,780,log_interval_width,0.09999999999999998,"DQ_full=16.045 (df 6, p=0.01351) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.4144612256192526,,0.1572265243451308,784,,0.09999999999999998,PICP 0.8451 (n=381) vs 0.8809 (n=403); z_iid=1.457 p_iid=0.145,1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.0924687116020964,,0.27462713574460795,784,,0.09999999999999998,PICP 0.8795 (n=332) vs 0.8518 (n=452); z_iid=-1.118 p_iid=0.2635,1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.6175363990468641,,0.536880980479443,784,,0.09999999999999998,PICP 0.8873 (n=71) vs 0.8612 (n=713); z_iid=-0.613 p_iid=0.5401,1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.31368850557096745,,0.7537576316765262,784,,0.09999999999999998,PICP 0.8475 (n=59) vs 0.8648 (n=725); z_iid=0.374 p_iid=0.7086,1.0,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,regime,t-1 (implementable),8.633547440418205,2.0,0.013342861980891975,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=40.438 (df 7, p=1.038e-06) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",0.09026129867510134,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,transition,t-1 (implementable),0.30488166357992696,1.0,0.5808381178446166,780,transition_exante(t-1),0.04999999999999999,"DQ_full=32.110 (df 6, p=1.555e-05) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",1.0,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,width,t-1 (implementable),5.6224674713947635,1.0,0.01773166780350551,780,log_interval_width,0.04999999999999999,"DQ_full=37.427 (df 6, p=1.453e-06) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",0.09026129867510134,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.410748668251294,,0.015919814719001314,784,,0.04999999999999999,PICP 0.8976 (n=381) vs 0.9429 (n=403); z_iid=2.349 p_iid=0.01884,0.09026129867510134,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.486670645540752,,0.012894471239300192,784,,0.04999999999999999,PICP 0.9458 (n=332) vs 0.9027 (n=452); z_iid=-2.211 p_iid=0.02703,0.09026129867510134,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.21120867749556232,,0.832724439826165,784,,0.04999999999999999,PICP 0.9296 (n=71) vs 0.9201 (n=713); z_iid=-0.284 p_iid=0.7768,1.0,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.5080954206556428,,0.6113864265854331,784,,0.04999999999999999,PICP 0.8983 (n=59) vs 0.9228 (n=725); z_iid=0.669 p_iid=0.5033,1.0,7,True
