tau,empirical,gap,method
0.05,0.05739795918367347,0.007397959183673468,MC-Dropout-LSTM
0.1,0.10841836734693877,0.008418367346938765,MC-Dropout-LSTM
0.2,0.22448979591836735,0.024489795918367335,MC-Dropout-LSTM
0.3,0.3520408163265306,0.052040816326530626,MC-Dropout-LSTM
0.4,0.4336734693877551,0.03367346938775506,MC-Dropout-LSTM
0.5,0.5255102040816326,0.025510204081632626,MC-Dropout-LSTM
0.6,0.5956632653061225,-0.00433673469387752,MC-Dropout-LSTM
0.7,0.6811224489795918,-0.018877551020408112,MC-Dropout-LSTM
0.8,0.7665816326530612,-0.033418367346938815,MC-Dropout-LSTM
0.9,0.8686224489795918,-0.03137755102040818,MC-Dropout-LSTM
0.95,0.9221938775510204,-0.02780612244897951,MC-Dropout-LSTM
0.05,0.07397959183673469,0.02397959183673469,Quantile-LSTM
0.5,0.48596938775510207,-0.014030612244897933,Quantile-LSTM
0.95,0.8954081632653061,-0.05459183673469381,Quantile-LSTM
0.05,0.05739795918367347,0.007397959183673468,LSTM-Gaussian
0.1,0.10714285714285714,0.007142857142857131,LSTM-Gaussian
0.2,0.22448979591836735,0.024489795918367335,LSTM-Gaussian
0.3,0.3520408163265306,0.052040816326530626,LSTM-Gaussian
0.4,0.4336734693877551,0.03367346938775506,LSTM-Gaussian
0.5,0.5267857142857143,0.0267857142857143,LSTM-Gaussian
0.6,0.5956632653061225,-0.00433673469387752,LSTM-Gaussian
0.7,0.6811224489795918,-0.018877551020408112,LSTM-Gaussian
0.8,0.7665816326530612,-0.033418367346938815,LSTM-Gaussian
0.9,0.8673469387755102,-0.032653061224489854,LSTM-Gaussian
0.95,0.9209183673469388,-0.029081632653061185,LSTM-Gaussian
