rank_qlike,model,family,ranked,n,qlike,mse,mae,qlike_transitional,n_transitional,picp,mpiw,winkler,coverage_error,crps,crps_estimator
1.0,MC-Dropout-Regime-LSTM-B,combined (Phase 7),True,784,0.25818226034689734,4.055302499815564e-08,5.332518660646385e-05,0.19513597530803317,332,0.8622448979591837,0.00018043828801198757,0.00039928836393957897,-0.037755102040816335,4.0547394145865356e-05,log-normal closed form
2.0,Regime-LSTM-B,regime-aware deep,True,784,0.25831322489916536,4.048665896723149e-08,5.334308669349087e-05,0.1950896055997912,332,,,,,,
3.0,LSTM-RVonly,deep,True,784,0.25964044631502264,4.020964479151205e-08,6.0579605066443574e-05,0.23307917299392644,332,,,,,,
4.0,Regime-LSTM-A-RVonly,regime-aware deep,True,784,0.2616548446022459,4.2001503956417e-08,6.506646477296961e-05,0.22707698024676323,332,,,,,,
5.0,Regime-LSTM-A,regime-aware deep,True,784,0.26265547977966025,4.03520044469641e-08,5.813253749280834e-05,0.20493791146540127,332,,,,,,
6.0,LSTM-Gaussian,uncertainty-aware deep,True,784,0.2650185870558635,4.4849336176077776e-08,5.86277324105918e-05,0.20432754898005726,332,0.8635204081632653,0.00018014559745913475,0.0004197712177206501,-0.03647959183673477,4.3014955175459654e-05,log-normal closed form
7.0,LSTM,deep,True,784,0.2650186360787922,4.484934814224016e-08,5.862772884378922e-05,0.2043275392255264,332,,,,,,
8.0,MC-Dropout-LSTM,uncertainty-aware deep,True,784,0.2652326543218103,4.4938710325887254e-08,5.8738593643363395e-05,0.20440322151975562,332,0.8647959183673469,0.0001817849247514657,0.00041992509261372943,-0.035204081632653095,4.3058928982516726e-05,log-normal closed form
,Quantile-LSTM-mean,sensitivity (retransformed point),False,784,0.2742372862021575,4.420187258965078e-08,5.633943638248867e-05,0.2051344775884666,332,,,,,,
9.0,HAR-RV,econometric,True,784,0.2744895722052716,4.1763299445373875e-08,6.046388729685261e-05,0.24090625673369034,332,,,,,,
10.0,Quantile-LSTM,uncertainty-aware deep,True,784,0.3216466868446237,5.1312697241036166e-08,5.7297596703954026e-05,0.22788839498927485,332,0.8214285714285714,0.00015982310489303527,0.0004317449249621922,-0.07857142857142863,,
11.0,GARCH,econometric,True,784,0.33017142553278583,5.6251003065953535e-08,7.171748128341523e-05,0.2907199262754887,332,,,,,,
12.0,EGARCH,econometric,True,784,0.33275064053098585,5.665607030845292e-08,6.901579848824777e-05,0.27782337314358974,332,,,,,,
13.0,RW-RV,econometric,True,784,0.3584319726638106,5.283828597571581e-08,6.578935497975982e-05,0.2810474349626089,332,,,,,,
