asset,profile,model,n,mse,rmse,mae,qlike,rank_qlike,is_reference_asset
SPX,intraday_2019_2022,LSTM-RVonly,784,4.020964479151205e-08,0.00020052342703911694,6.0579605066443574e-05,0.25964044631502264,1,True
SPX,intraday_2019_2022,Regime-LSTM-A-RVonly,784,4.1520141446327805e-08,0.0002037649171136381,6.472411310416948e-05,0.2617483454141135,2,True
SPX,intraday_2019_2022,Regime-LSTM-B,784,4.15617715558864e-08,0.0002038670438199524,5.381994428476992e-05,0.26211541156105067,3,True
SPX,intraday_2019_2022,Regime-LSTM-A,784,4.0282922473743674e-08,0.00020070605988296335,5.808740769479608e-05,0.26320896456987325,4,True
SPX,intraday_2019_2022,LSTM,784,4.484934814224016e-08,0.00021177664682924828,5.862772884378922e-05,0.2650186360787922,5,True
SPX,intraday_2019_2022,HAR-RV,784,4.1763299445373875e-08,0.0002043607091526497,6.046388729685261e-05,0.2744895722052716,6,True
SPX,intraday_2019_2022,GARCH,784,5.6251003065953535e-08,0.00023717293915190564,7.171748128341523e-05,0.33017142553278583,7,True
SPX,intraday_2019_2022,EGARCH,784,5.665607030845292e-08,0.00023802535644013416,6.901579848824777e-05,0.33275064053098585,8,True
SPX,intraday_2019_2022,RW-RV,784,5.283828597571581e-08,0.0002298657999262087,6.578935497975982e-05,0.3584319726638106,9,True
RUT,rq4_rut,Regime-LSTM-B,788,4.50770396628416e-08,0.00021231354093142904,6.3503509747262e-05,0.21432477666769256,1,False
RUT,rq4_rut,HAR-RV,788,2.8033841614909018e-08,0.00016743309593658304,6.716354053673203e-05,0.22603300455772476,2,False
RUT,rq4_rut,RW-RV,788,2.8749838082455022e-08,0.0001695577721086681,6.964217216672461e-05,0.28598599573629613,3,False
RUT,rq4_rut,EGARCH,788,4.091202255896776e-08,0.00020226720584159895,0.0001262677083625222,0.4436889783041359,4,False
RUT,rq4_rut,GARCH,788,7.106068964083395e-08,0.00026657210964546526,0.0001469959474387984,0.4810036323403373,5,False
FTSE,rq4_ftse,Regime-LSTM-B,795,7.28986697999965e-08,0.000269997536655423,7.031219050730756e-05,0.29045023308314516,1,False
FTSE,rq4_ftse,EGARCH,795,7.111718545430742e-08,0.00026667805581694835,7.719281760522071e-05,0.29597405299279317,2,False
FTSE,rq4_ftse,HAR-RV,795,7.465884202276828e-08,0.00027323770241818434,7.832015039281643e-05,0.29973290547313103,3,False
FTSE,rq4_ftse,GARCH,795,8.158773449917522e-08,0.00028563566741423457,9.082685919726421e-05,0.3344244722219696,4,False
FTSE,rq4_ftse,RW-RV,795,1.1662893241059779e-07,0.0003415097837699497,8.89061522409282e-05,0.5561843947564739,5,False
