model,seed,n,qlike,mse,mae
LSTM-RVonly,17,784,0.25964044631502264,4.020964479151205e-08,6.0579605066443574e-05
Regime-LSTM-A-RVonly,17,784,0.2617483454141135,4.1520141446327805e-08,6.472411310416948e-05
Regime-LSTM-B,17,784,0.26211541156105067,4.15617715558864e-08,5.381994428476992e-05
MC-Dropout-Regime-LSTM-B,17,784,0.2619395864331803,4.1566123979390096e-08,5.372773959653477e-05
LSTM-RVonly,18,784,0.2602429476433073,4.276069390025841e-08,5.864873171890359e-05
Regime-LSTM-A-RVonly,18,784,0.25676675604863675,4.0082146169330755e-08,5.9196207268421414e-05
Regime-LSTM-B,18,784,0.25140102112952745,4.2033224371184954e-08,5.4305036130884135e-05
MC-Dropout-Regime-LSTM-B,18,784,0.25123991642193927,4.212805946096327e-08,5.436968545868495e-05
LSTM-RVonly,19,784,0.25809861913607257,4.038505386244922e-08,6.14982820410109e-05
Regime-LSTM-A-RVonly,19,784,0.2583312756291967,4.305503627601442e-08,6.41060697779078e-05
Regime-LSTM-B,19,784,0.2677639386953258,4.2715137847386117e-08,5.4237996531984864e-05
MC-Dropout-Regime-LSTM-B,19,784,0.2676207264223419,4.273861169407328e-08,5.4125754581508125e-05
LSTM-RVonly,20,784,0.26228485230036463,4.045487562008841e-08,6.331364361578539e-05
Regime-LSTM-A-RVonly,20,784,0.25941135173198,3.989834276190721e-08,5.960019746378207e-05
Regime-LSTM-B,20,784,0.26324651754936823,5.15422292974431e-08,5.8004984329786444e-05
MC-Dropout-Regime-LSTM-B,20,784,0.26304197001771046,5.135856162522634e-08,5.794262018952933e-05
LSTM-RVonly,21,784,0.259417843546321,4.619815200063861e-08,5.807640761821703e-05
Regime-LSTM-A-RVonly,21,784,0.25746934954106454,4.595403103094663e-08,5.8486352938592775e-05
Regime-LSTM-B,21,784,0.25790563930219723,4.0261721151386255e-08,5.3164249985502196e-05
MC-Dropout-Regime-LSTM-B,21,784,0.2575592851289658,4.041031119087266e-08,5.3228436718829725e-05
