table,item,quantity,published,rederived,abs_diff,rel_diff,source,status,note
m02_intraday_2019_2022_loghar_metrics.csv,RW-RV,n,784.0,784.0,0.0,0.0,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_loghar_metrics.csv,RW-RV,mse,5.2838285975715815e-08,5.283828597571581e-08,6.617444900424222e-24,1.2523958296954529e-16,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_loghar_metrics.csv,RW-RV,rmse,0.0002298657999262,0.0002298657999262087,8.700722434196173e-18,3.7851313405428734e-14,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_loghar_metrics.csv,RW-RV,mae,6.578935497975982e-05,6.578935497975982e-05,0.0,0.0,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_loghar_metrics.csv,RW-RV,qlike,0.3584319726638106,0.3584319726638106,0.0,0.0,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_loghar_metrics.csv,HAR-RV,n,784.0,784.0,0.0,0.0,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_loghar_metrics.csv,HAR-RV,mse,3.825518005313587e-05,3.825518005313587e-05,0.0,0.0,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_loghar_metrics.csv,HAR-RV,rmse,0.0061850772067239,0.0061850772067239285,2.862293735361732e-17,4.62774131946176e-15,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_loghar_metrics.csv,HAR-RV,mae,0.0006760527515945,0.0006760527515945742,7.426784881525705e-17,1.0985510914657634e-13,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_loghar_metrics.csv,HAR-RV,qlike,0.4886350485065897,0.48863504850658973,5.551115123125783e-17,1.1360452223170645e-16,m02_intraday_2019_2022_loghar.parquet,OK,
m02_intraday_2019_2022_metrics.csv,HAR-RV,n,784.0,784.0,0.0,0.0,m02_intraday_2019_2022.parquet,OK,
m02_intraday_2019_2022_metrics.csv,HAR-RV,mse,4.176329944537388e-08,4.1763299445373875e-08,6.617444900424222e-24,1.5845119969699221e-16,m02_intraday_2019_2022.parquet,OK,
m02_intraday_2019_2022_metrics.csv,HAR-RV,rmse,0.0002043607091526,0.0002043607091526497,4.968356455414824e-17,2.431170099192041e-13,m02_intraday_2019_2022.parquet,OK,
m02_intraday_2019_2022_metrics.csv,HAR-RV,mae,6.046388729685261e-05,6.046388729685261e-05,0.0,0.0,m02_intraday_2019_2022.parquet,OK,
m02_intraday_2019_2022_metrics.csv,HAR-RV,qlike,0.2744895722052716,0.2744895722052716,0.0,0.0,m02_intraday_2019_2022.parquet,OK,
m02_intraday_2019_2022_metrics.csv,GARCH,n,784.0,784.0,0.0,0.0,m02_intraday_2019_2022.parquet,OK,
